variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q3_9,5.3.9 Pesticide used_Type 2,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,2586,0,,,,
s5q3_10,5.3.10 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,946,0,,,,
s5q3_11,5.3.11 Used Quantity of  Pesticide used_Type 2,double,,0,946,0,,,,
s5q3_12,5.3.12 Purchased Quantity(Kg),double,,0,946,0,,,,
s5q3_13,5.3.13 Price of purchased Pesticide_Type 2 (RWF/Kg),int32,,0,929,0,,,,
s5q3_14,5.3.14 Source of pesticide used-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,946,0,,,,
s5q3_15,5.3.15 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,946,0,,,,
s5q3_16,5.3.16 Pesticide used_Type 3,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,946,0,,,,
s5q3_17,5.3.17 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,297,0,,,,
s5q3_18,5.3.18 Used Quantity of  Pesticide used_Type 3,double,,0,297,0,,,,
s5q3_19,5.3.19 Purchased Quantity(Kg),double,,0,297,0,,,,
s5q3_20,5.3.20 Price of purchased Pesticide_Type 3 (RWF/Kg),int16,,0,295,0,,,,
s5q3_21,5.3.21 Source of pesticide used-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,297,0,,,,
s5q3_22,5.3.22 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,297,0,,,,
s5q3_23,5.3.23 Did any member of your household applied pesticide at least in one of the,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q3_24,5.3.24 Pesticide used_Type 1,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",9,2767,0,,,,
s5q3_25,5.3.25 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,2767,0,,,,
s5q3_26,5.3.26 Used Quantity of  Pesticide used_Type 1,double,,0,2767,0,,,,
s5q3_27,5.3.27 Purchased Quantity(Kg),double,,0,2767,0,,,,
s5q3_28,5.3.28 Price of purchased Pesticide_Type 1(RWF/Kg),int32,,0,2522,0,,,,
s5q3_29,5.3.29 Source of pesticide used-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2767,0,,,,
