variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
region_s7b1_land_agriculture,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,,0,0,0,14419,14579,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7b1q1,Household member currently own any agricultural land,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,14419,14579,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Currently own agricultural land,
s7b1q2,Any member of the household owned land over the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,1466,2643,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Owned land over last 12 months,
s7b1q3,Household bought land over the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Bought land over last 12 months,
s7b1q4,Amount paid to acquire land,int32,999999999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,1765,1172,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,,
s7b1q5,Household sold land in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Sold land over last 12 months,
s7b1q6,Amount received from the sale in the last 12 months,int32,999999999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,1012,968,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Amount received from the sale of this land,
s7b1q7,Household rented out any land over the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Rented out land over the last 12 months,
s7b1q8,Amount reiceveid from the rent of land,int32,999999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,1491,1270,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Amount received from the rent of land,
s7b1q9,Household sharecropped land in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Sharecropped land in the last 12 months,
s7b1q10,Amount received from the sharecropping in the last 12 months,int32,999999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,985,938,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Amount received from the sharecropping,
s7b1q11,"Household received land gift,inheritance, dowry or otherwise over the last 12 mo",int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Received land over the last 12 months,
s7b1q12,"Given land outside household gift, inheritance, dowry or otherwise over the last",int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,13003,12050,0,EICV4_CS: module s7b1_land_agriculture; EICV5_CS: module s7b1_land_agriculture,,EICV4_CS: Given land over the last 12 months,
hhtype_s7b1_land_agriculture,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
rwanda_s7b1_land_agriculture,All Rwanda,int8,1=All Rwanda,1,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
surveyh_s7b1_land_agriculture,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
quintile_s7b1_land_agriculture,QUINTILE,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
poverty_s7b1_land_agricultur_v2,[EICV4_CS..EICV4_CS version] POVERTY,int8,,0,,0,0,0,14419,0,0,,poverty_s7b1_land_agriculture (EICV5_CS),,
s0q19m_s7b1_land_agriculture,Month of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
s0q19y_s7b1_land_agriculture,Year of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
ur2012_s9c_vup,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
region_s9c_vup,Region,int8,"1=Kigali City, 2=Other Urban, 3=Rural Southern, 4=Rural Western, 5=Rural Northern …",6,,0,0,0,14419,0,0,EICV4_CS: module s9c_vup,,,
s9cq1,Household category in Ubudehe VUP_,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Rich …",8,"household (transfers, VUP, other income)",0,0,0,14419,14572,0,EICV4_CS: module s9c_vup; EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,EICV4_CS: Ubudehe category of HH (self-declared),"{""1"": [""Category 1"", ""Extremely poor""], ""2"": [""Category 2"", ""Very poor""], ""3"": [""Category 3"", ""Poor""], ""4"": [""Category 4"", ""Self reliant""], ""8"": [""Don't know"", ""Don?t know""]}"
