# SAS checks report

Generated by 03_checks.py.

## A. Pooled crop-production file vs the per-wave cleaned files

| section | statistic | Python | reference | result |
| B | 2020_B median plot area (m2) | 1,256 | 1,256 | PASS |
| B | 2020_C rows | 4,283 | 4,283 | PASS |
| B | 2020_C rows with weight | 4,283 | 4,283 | PASS |
| B | 2020_C sum wt | 19,264 | 19,264 | PASS |
| B | 2020_C sum production (kg) | 2,581,558 | 2,581,558 | PASS |
| B | 2020_C median plot area (m2) | 517 | 517 | PASS |
| B | 2021_A rows | 41,634 | 41,634 | PASS |
| B | 2021_A rows with weight | 41,541 | 41,541 | PASS |
| B | 2021_A sum wt | 31,213,435 | 31,213,435 | PASS |
| B | 2021_A sum production (kg) | 109,372,274 | 109,372,274 | PASS |
| B | 2021_A median plot area (m2) | 1,227 | 1,227 | PASS |
| B | 2021_B rows | 35,869 | 35,869 | PASS |
| B | 2021_B rows with weight | 35,799 | 35,799 | PASS |
| B | 2021_B sum wt | 25,113,833 | 25,113,833 | PASS |
| B | 2021_B sum production (kg) | 110,571,514 | 110,571,514 | PASS |
| B | 2021_B median plot area (m2) | 1,247 | 1,247 | PASS |
| B | 2021_C rows | 3,416 | 3,416 | PASS |
| B | 2021_C rows with weight | 1,726 | 1,726 | PASS |
| B | 2021_C sum wt | 448,698 | 448,698 | PASS |
| B | 2021_C sum production (kg) | 2,463,867 | 2,463,867 | PASS |
| B | 2021_C median plot area (m2) | 482 | 482 | PASS |
| B | 2022_A rows | 41,589 | 41,589 | PASS |
| B | 2022_A rows with weight | 41,589 | 41,589 | PASS |
| B | 2022_A sum wt | 34,993,486 | 34,993,486 | PASS |
| B | 2022_A sum production (kg) | 152,320,988 | 152,320,988 | PASS |
| B | 2022_A median plot area (m2) | 1,088 | 1,088 | PASS |
| B | 2022_B rows | 36,005 | 36,005 | PASS |
| B | 2022_B rows with weight | 36,005 | 36,005 | PASS |
| B | 2022_B sum wt | 29,070,465 | 29,070,465 | PASS |
| B | 2022_B sum production (kg) | 98,298,131 | 98,298,131 | PASS |
| B | 2022_B median plot area (m2) | 1,120 | 1,120 | PASS |
| B | 2022_C rows | 5,818 | 5,818 | PASS |
| B | 2022_C rows with weight | 5,818 | 5,818 | PASS |
| B | 2022_C sum wt | 589,694 | 589,694 | PASS |
| B | 2022_C sum production (kg) | 4,513,197 | 4,513,197 | PASS |
| B | 2022_C median plot area (m2) | 459 | 459 | PASS |
| B | 2023_A rows | 39,038 | 39,038 | PASS |
| B | 2023_A rows with weight | 39,038 | 39,038 | PASS |
| B | 2023_A sum wt | 31,499,395 | 31,499,395 | PASS |
| B | 2023_A sum production (kg) | 114,084,306 | 114,084,306 | PASS |
| B | 2023_A median plot area (m2) | 1,092 | 1,092 | PASS |
| B | 2023_B rows | 36,546 | 36,546 | PASS |
| B | 2023_B rows with weight | 36,546 | 36,546 | PASS |
| B | 2023_B sum wt | 28,704,081 | 28,704,081 | PASS |
| B | 2023_B sum production (kg) | 112,180,244 | 112,180,244 | PASS |
| B | 2023_B median plot area (m2) | 1,111 | 1,111 | PASS |
| B | 2023_C rows | 3,566 | 3,566 | PASS |
| B | 2023_C rows with weight | 3,566 | 3,566 | PASS |
| B | 2023_C sum wt | 1,118,165 | 1,118,165 | PASS |
| B | 2023_C sum production (kg) | 2,654,626 | 2,654,626 | PASS |
| B | 2023_C median plot area (m2) | 488 | 488 | PASS |
| B | 2024_A rows | 39,330 | 39,330 | PASS |
| B | 2024_A rows with weight | 39,330 | 39,330 | PASS |
| B | 2024_A sum wt | 35,243,844 | 35,243,844 | PASS |
| B | 2024_A sum production (kg) | 126,956,524 | 126,956,524 | PASS |
| B | 2024_A median plot area (m2) | 1,030 | 1,030 | PASS |
| B | 2024_B rows | 35,584 | 35,584 | PASS |
| B | 2024_B rows with weight | 35,584 | 35,584 | PASS |
| B | 2024_B sum wt | 30,534,218 | 30,534,218 | PASS |
| B | 2024_B sum production (kg) | 110,098,530 | 110,098,530 | PASS |
| B | 2024_B median plot area (m2) | 1,052 | 1,052 | PASS |
| B | 2024_C rows | 1,949 | 1,949 | PASS |
| B | 2024_C rows with weight | 1,949 | 1,949 | PASS |
| B | 2024_C sum wt | 704,473 | 704,473 | PASS |
| B | 2024_C sum production (kg) | 1,001,630 | 1,001,630 | PASS |
| B | 2024_C median plot area (m2) | 557 | 557 | PASS |
| B | 2025_A rows | 34,369 | 34,369 | PASS |
| B | 2025_A rows with weight | 34,369 | 34,369 | PASS |
| B | 2025_A sum wt | 36,857,604 | 36,857,604 | PASS |
| B | 2025_A sum production (kg) | 123,858,221 | 123,858,221 | PASS |
| B | 2025_A median plot area (m2) | 855 | 855 | PASS |
| B | 2025_B rows | 32,920 | 32,920 | PASS |
| B | 2025_B rows with weight | 32,920 | 32,920 | PASS |
| B | 2025_B sum wt | 35,529,455 | 35,529,455 | PASS |
| B | 2025_B sum production (kg) | 105,925,129 | 105,925,129 | PASS |
| B | 2025_B median plot area (m2) | 872 | 872 | PASS |
| B | 2025_C rows | 1,884 | 1,884 | PASS |
| B | 2025_C rows with weight | 1,884 | 1,884 | PASS |
| B | 2025_C sum wt | 891,581 | 891,581 | PASS |
| B | 2025_C sum production (kg) | 851,639 | 851,639 | PASS |
| B | 2025_C median plot area (m2) | 423 | 423 | PASS |

## C. Core quantities (CORE / CORE_SEASON map)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| C | 2017_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 674 | 674 | PASS |
| C | 2017_A rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2017_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 752 | 752 | PASS |
| C | 2017_B rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2017_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 360 | 360 | PASS |
| C | 2017_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2018_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 751 | 751 | PASS |
| C | 2018_A rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2018_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 884 | 884 | PASS |
| C | 2018_B rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 1 | 0 | PASS |
| C | 2018_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 337 | 337 | PASS |
| C | 2018_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2019_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,252 | 1,252 | PASS |
| C | 2019_A rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2019_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,258 | 1,258 | PASS |
| C | 2019_B rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2019_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 538 | 538 | PASS |
| C | 2019_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2020_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,228 | 1,228 | PASS |
| C | 2020_A rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2020_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,256 | 1,256 | PASS |
| C | 2020_B rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2020_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 517 | 517 | PASS |
| C | 2020_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2021_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,227 | 1,227 | PASS |
| C | 2021_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,247 | 1,247 | PASS |
| C | 2021_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 482 | 482 | PASS |
| C | 2021_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2022_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,088 | 1,088 | PASS |
| C | 2022_A production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2022_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,120 | 1,120 | PASS |
| C | 2022_B production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2022_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 459 | 459 | PASS |
| C | 2022_C production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2023_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,092 | 1,092 | PASS |
| C | 2023_A production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2023_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,111 | 1,111 | PASS |
| C | 2023_B production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2023_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 488 | 488 | PASS |
| C | 2023_C production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2024_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,030 | 1,030 | PASS |
| C | 2024_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 1,052 | 1,052 | PASS |
| C | 2024_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 557 | 557 | PASS |
| C | 2025_A median plot area (m2) -- plausible band 100-30,000 (must be inside) | 855 | 855 | PASS |
| C | 2025_A rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2025_A production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2025_B median plot area (m2) -- plausible band 100-30,000 (must be inside) | 872 | 872 | PASS |
| C | 2025_B rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 0 | 0 | PASS |
| C | 2025_B production / harvested area == shipped yield (share of rows within 0.1%, x 1000; must be >= 990) | 1,000 | 1,000 | PASS |
| C | 2025_C median plot area (m2) -- plausible band 100-30,000 (must be inside) | 423 | 423 | PASS |
| C | 2025_C rows with crop area > plot area + 5% (share x 1000; must be <= 20) | 2 | 0 | PASS |
| C | rows with negative production | 0 | 0 | PASS |
| C | 2019 B/C plot area shipped in ha (median 2019_B plot area, m2: ~1,258 expected) | 1,258 | 1,258 | PASS |
| C | 2019 C crop area == shipped harvested area (rows within 0.1%, x 1000) | 1,000 | 1,000 | PASS |

## D. Published cultivated maize area (ha) -- screening crop records x plot weight vs the annual reports

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| D | 2020_A maize cultivated area (ha) vs report 221,521 | 221,521 | 221,521 | PASS |
| D | 2020_B maize cultivated area (ha) vs report 72,918 | 72,918 | 72,918 | PASS |
| D | 2021_A maize cultivated area (ha) vs report 236,642 | 236,642 | 236,642 | PASS |
| D | 2021_B maize cultivated area (ha) vs report 80,570 | 80,570 | 80,570 | PASS |
| D | 2022_A maize cultivated area (ha) vs report 219,683 | 219,683 | 219,683 | PASS |
| D | 2022_B maize cultivated area (ha) vs report 81,339 | 81,339 | 81,339 | PASS |
| D | 2023_A maize cultivated area (ha) vs report 226,982 | 226,982 | 226,982 | PASS |
| D | 2023_B maize cultivated area (ha) vs report 93,927 | 93,927 | 93,927 | PASS |
| D | 2024_A maize cultivated area (ha) vs report 249,435 [informational: 2024 estimator not reproduced] | 358,384 |  | n/a |
| D | 2024_B maize cultivated area (ha) vs report 92,944 [informational: 2024 estimator not reproduced] | 44,728 |  | n/a |

## E. Module coverage, record keys, crop dictionaries, cross-wave coding compatibility

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| E | module fertilizers_pesticides: years covered (expected 7) | 7 | 7 | PASS |
| E | module agricultural_practice: years covered (expected 7) | 7 | 7 | PASS |
| E | module screening_crops: years covered (expected 7) | 7 | 7 | PASS |
| E | module screening_agroforestry: years covered (expected 4) | 4 | 4 | PASS |
| E | module screening_antierosion: years covered (expected 4) | 4 | 4 | PASS |
| E | farmq_part0_2013_2016: waves appended (informational) | 7 |  | n/a |
| E | farmq_part2a_2013_2016: waves appended (informational) | 6 |  | n/a |
| E | farmq_part2b_2013_2016: waves appended (informational) | 3 |  | n/a |
| E | farmq_part2b_fertilizer_2013_2016: waves appended (informational) | 3 |  | n/a |
| E | farmq_part2b_pesticide_2013_2016: waves appended (informational) | 3 |  | n/a |
| E | farmq_part4_2013_2016: waves appended (informational) | 5 |  | n/a |
| E | farmq_part6a_2013_2016: waves appended (informational) | 4 |  | n/a |
| E | farmq_part7_2013_2016: waves appended (informational) | 4 |  | n/a |
