scope,wave,native,clean_name,clean_label,native_label
pooled:CFSVA_pooled_household.dta,2021,s11_05_0_2_smt_7_v2,cfsva_september_v2_s110502smt,CFSVA 2021: September of 2020,September of 2020
pooled:CFSVA_pooled_household.dta,2024,s11_05_0_2_smt_8,cfsva_august_smt_8_s110502smt,CFSVA 2024: August of 2023,S11_05_0_2/August of 2023
pooled:CFSVA_pooled_household.dta,2021,s11_05_0_2_smt_8_v2,cfsva_august_v2_2021_s110502smt,CFSVA 2021: August of 2020,August of 2020
pooled:CFSVA_pooled_household.dta,2024,s11_05_0_2_smt_9,cfsva_july_smt_9_2024_s110502smt,CFSVA 2024: July of 2023,S11_05_0_2/July of 2023
pooled:CFSVA_pooled_household.dta,2021,s11_05_0_2_smt_9_v2,cfsva_july_v2_2021_s110502smt,CFSVA 2021: July of 2020,July of 2020
pooled:CFSVA_pooled_household.dta,2021,s11_05_1,cfsva_hh_recevied_financial,"CFSVA 2021: Recevied any financial assistance pack, last 12 months","In the last 12 months, Did your household recevied any financial assistance pack"
pooled:CFSVA_pooled_household.dta,2021,s11_05_1_1,cfsva_amount_money_assistance,CFSVA 2021: Amount of money your household recevied in financial assistance pack,What is the amount of money your household recevied in financial assistance pack
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_1,cfsva_vup_direct_support_smt_1,CFSVA 2021-2024: VUP direct support,S11_05/VUP direct support
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_10,cfsva_cup_milk_child_smt_10,CFSVA 2021-2024: One cup of milk per child,S11_05/One cup of milk per child
pooled:CFSVA_pooled_household.dta,2024,s11_05_smt_11,cfsva_others_smt_11_2024,CFSVA 2024: Others,S11_05/Others
pooled:CFSVA_pooled_household.dta,2021,s11_05_smt_11_v2,cfsva_others_v2_2021,CFSVA 2021: Others,Others
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_2,cfsva_vup_nutrition_sensitive,CFSVA 2021-2024: VUP Nutrition Sensitive Direct Support,S11_05/VUP Nutrition Sensitive Direct Support
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_3,cfsva_vup_public_works_smt_3,CFSVA 2021-2024: VUP public Works,S11_05/VUP public Works
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_4,cfsva_vup_expanded_public_works,CFSVA 2021-2024: VUP expanded Public Works,S11_05/VUP expanded Public Works
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_5,cfsva_vup_asset_transfer,CFSVA 2021-2024: VUP Asset Transfer,S11_05/VUP Asset Transfer
pooled:CFSVA_pooled_household.dta,2021,s11_05_smt_6,cfsva_emergency_cash_transfer,CFSVA 2021: Emergency Cash Transfer for COVID-19,Emergency Cash Transfer for COVID-19
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_7,cfsva_vup_financial_svc_loans,CFSVA 2021-2024: VUP financial services loans through SACCOs,S11_05/VUP financial services loans through SACCOs
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_8,cfsva_ubudehe_credit_smt_8,CFSVA 2021-2024: Ubudehe credit scheme/loan (individual or group),S11_05/Ubudehe credit scheme/loan (individual or group)
pooled:CFSVA_pooled_household.dta,2024,s11_05_smt_88,cfsva_none_smt_88_2024,CFSVA 2024: None,S11_05/None
pooled:CFSVA_pooled_household.dta,2021,s11_05_smt_88_v2,cfsva_none_v2_2021,CFSVA 2021: None,None
