variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
q903,Is this unusual at this time of year?:,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
qa904_1,"Maize/Maize meal (e.g. Ugali, posho)",int8,,0,0,0,4598,0,0,0,0,,,,
qa904_2,"Maize/Maize meal (e.g. Ugali, posho) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,3253,0,0,0,0,,,,
qb904_1,Sorghum,int8,,0,0,0,4598,0,0,0,0,,,,
qb904_2,Sorghum - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1826,0,0,0,0,,,,
qc904_1,"Other cereals (Rice, wheat …)",int8,,0,0,0,4597,0,0,0,0,,,,
qc904_2,"Other cereals (Rice, wheat …) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1652,0,0,0,0,,,,
qd904_1,Cassava,int8,,0,0,0,4598,0,0,0,0,,,,
qd904_2,Cassava - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2927,0,0,0,0,,,,
qe904_1,White sweet Potato,int8,,0,0,0,4598,0,0,0,0,,,,
qe904_2,White sweet Potato - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,3416,0,0,0,0,,,,
qf904_1,Other White Roots and tubers (potatoes…),int8,,0,0,0,4598,0,0,0,0,,,,
qf904_2,Other White Roots and tubers (potatoes…) - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1094,0,0,0,0,,,,
qg904_1,Mandazi / Chapatti / Bread,int8,,0,0,0,4598,0,0,0,0,,,,
qg904_2,Mandazi / Chapatti / Bread - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1754,0,0,0,0,,,,
qh904_1,"Carrot, orange sweet potato or other tubers that are orange inside",int8,,0,0,0,4598,0,0,0,0,,,,
qh904_2,"Carrot, orange sweet potato or other tubers that are orange inside - Main source",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,809,0,0,0,0,,,,
qi904_1,Cooking banana,int8,,0,0,0,4598,0,0,0,0,,,,
qi904_2,Cooking banana - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2739,0,0,0,0,,,,
qj904_1,"Beans, Peas and other pulses",int8,,0,0,0,4598,0,0,0,0,,,,
qj904_2,"Beans, Peas and other pulses - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4439,0,0,0,0,,,,
qk904_1,Dark green leafy vegetables (eg. Cassava Leaves ?),int8,,0,0,0,4598,0,0,0,0,,,,
qk904_2,Dark green leafy vegetables - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4051,0,0,0,0,,,,
ql904_1,"Pumpkin, squash and other orange vegetables",int8,,0,0,0,4598,0,0,0,0,,,,
ql904_2,"Pumpkin, squash and other orange vegetables - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,283,0,0,0,0,,,,
qm904_1,Other Vegetables,int8,,0,0,0,4598,0,0,0,0,,,,
qm904_2,Other Vegetables - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1485,0,0,0,0,,,,
qn904_1,Ground nuts and seeds,int8,,0,0,0,4598,0,0,0,0,,,,
qn904_2,Ground nuts and seeds - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2595,0,0,0,0,,,,
qo904_1,orange coloured fruits,int8,,0,0,0,4597,0,0,0,0,,,,
qo904_2,orange coloured fruits  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1160,0,0,0,0,,,,
qp904_1,Other Fresh fruits,int8,,0,0,0,4597,0,0,0,0,,,,
qp904_2,Other Fresh fruits - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,711,0,0,0,0,,,,
qq904_1,Fish,int8,,0,0,0,4598,0,0,0,0,,,,
qq904_2,Fish - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1019,0,0,0,0,,,,
qr904_1,Organ Meat,int8,,0,0,0,4598,0,0,0,0,,,,
qr904_2,Organ Meat - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,310,0,0,0,0,,,,
qs904_1,Flesh meat,int8,,0,0,0,4598,0,0,0,0,,,,
qs904_2,Flesh meat  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,825,0,0,0,0,,,,
qt904_1,Eggs,int8,,0,0,0,4598,0,0,0,0,,,,
qt904_2,Eggs - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,353,0,0,0,0,,,,
qu904_1,"Oil, fat, butter, ghee (including palm oil)",int8,,0,0,0,4597,0,0,0,0,,,,
qu904_2,"Oil, fat, butter, ghee (including palm oil) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,3895,0,0,0,0,,,,
qv904_1,Sugar and sweets,int8,,0,0,0,4598,0,0,0,0,,,,
qv904_2,Sugar and sweets - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2208,0,0,0,0,,,,
qw904_1,Milk and milk products,int8,,0,0,0,4598,0,0,0,0,,,,
qw904_2,Milk and milk products - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1394,0,0,0,0,,,,
qx904_1,Condiments,int8,,0,0,0,4598,0,0,0,0,,,,
qx904_2,Condiments  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4483,0,0,0,0,,,,
q905,"What is your household prefered staple food (other than beans, soup)?",int8,,0,0,0,4598,0,0,0,0,,,,
qa906_1,Source of prefered food March2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qa906_2,Source of Beans March2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qb906_1,Source of prefered food April2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qb906_2,Source of Beans April2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qc906_1,Source of prefered food May2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qc906_2,Source of Beans May2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qd906_1,Source of prefered food June2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4588,0,0,0,0,,,,
qd906_2,Source of Beans June2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4598,0,0,0,0,,,,
qe906_1,Source of prefered food July2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qe906_2,Source of Beans July2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4596,0,0,0,0,,,,
qf906_1,Source of prefered food August2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qf906_2,Source of Beans August2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
