variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
es13_15,"ES13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any juice or",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2065,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
fs13_15,"FS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any clear bro",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2066,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
gs13_15,"GS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any sour milk",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2066,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
hs13_15,"HS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any fortified",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2061,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
hs13_15_2,HS13_15_2 How many times did [CHILD_NAME] consume FBF (shisha kibondo)?,int8,,0,0,0,0,0,0,278,218,,,2021: How many times did [Name] consume FBF (shisha kibo,
is13_15,"IS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any other FBF",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2066,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
js13_15,"JS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any thin porr",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2066,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
ks13_15,"KS13_15 Yesterday, during the day or night, did [CHILD_NAME] drinkTea or coffee",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2065,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
ls13_15,"LS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink any other wat",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2065,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
ms13_15,"MS13_15 Yesterday, during the day or night, did [CHILD_NAME] drink anything from",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,2064,1896,,,"2021: Yesterday, during the day or night, did [Name] dri",
ms13_15_1,Has your child's [Name] food consumption changed because of Covid19 pandemic?,int8,"1=Yes, increase consumption, 2=Yes, decrease consumption, 3=No change",3,0,0,0,0,0,2064,0,,,,
ms13_17,. Has the frequency of food consumption of your child [Name] changed because of,int8,"0=No, 1=Yes, more frequent, 2=Yes, less frequent, 3=Yes, but not because of Covid19, 88=Do not know",5,0,0,0,0,0,2064,0,,ms13_17_v2 (2018),,
as13_16,"AS13_16 Yesterday, during the day or night, did [child name] eat any Porridge, b",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
bs13_16,"BS13_16 Yesterday, during the day or night, did [child name] eat any White potat",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
bs13_16_1,"BS13_16_1 Yesterday, during the day or night, did [child name] eat any fats incl",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
cs13_16,"CS13_16 Yesterday, during the day or night, did [child name] eat any Legumes and",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ds13_16,"DS13_16 Yesterday, during the day or night, did [child name] eat any Milk, Chees",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
es13_16,"ES13_16 Yesterday, during the day or night, did [child name] eat any Liver, kidn",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
fs13_16,"FS13_16 Yesterday, during the day or night, did [child name] eat any meat, such",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
gs13_16,"GS13_16 Yesterday, during the day or night, did [child name] eat any Fresh or dr",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
hs13_16,"HS13_16 Yesterday, during the day or night, did [child name] eat any Eggs",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
is13_16,"IS13_16 Yesterday, during the day or night, did [child name] eat any Vit A rich",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
js13_16,"JS13_16 Yesterday, during the day or night, did [child name] eat any dark green",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ks13_16,"KS13_16 Yesterday, during the day or night, did [child name] eat any Ripe mangoe",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ls13_16,"LS13_16 Yesterday, during the day or night, did [child name] eat any other fruit",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ms13_16,"MS13_16 Yesterday, during the day or night, did [child name] eat any Foods made",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ns13_16,"NS13_16 Yesterday, during the day or night, did [child name] eat any shisha kibo",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1368,1224,,,"2021: Yesterday, during the day or night, did [child nam",
os13_16,"OS13_16 Yesterday, during the day or night, did [child name] eat any other FBF (",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
ps13_16,"PS13_16 Yesterday, during the day or night, did [child name] eat any RUTF (e.g.",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
qs13_16,"QS13_16 Yesterday, during the day or night, did [child name] eat any bio-fortied",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesterday, during the day or night, did [child nam",
rs13_16,"RS13_16 Yesterday, during the day or night, did [child name] eat any food to whi",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,374,,,"2021: Yesterday, during the day or night, did [child nam",
s13_17,"S13_17 Yesteday, during day or night how many times did [child name] eat solid,",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,"2021: Yesteday, during day or night how many times did [",
s13_18,S13_18 Is [child name] enrolled in Shisha Kibondo?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,2021: Is [child name] enrolled in Shisha Kibondo?,
s13_19,S13_19 Is [child name] enrolled in any supplementary feeding programme?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,1648,1442,,,2021: Is [child name] enrolled in any supplementary feed,
s13_19_2,"S13_19_2 If any, which supplementary feeding programme?",int8,"1=(non-hospitalized) Therapeutic feeding, 2=(hospitalized, inpatient) Therapeutic feeding, 3=Supplementary feeding",3,0,0,0,0,0,176,144,,,"2021: If any, which supplementary feeding programme?",
s13_20,S13_20 Does [child name] present any disability preventing him or her from being,string,,0,2059,7819,4601,4058,6736,5776,4715,,,2021: Does [child name] present any disability preventin,
s13_20_smt_0_v2,[2021..2021 version] Does [child name] present any disability preventing him,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,0,,s13_20_smt_0 (2024),,
s13_20_smt_1_v2,[2021..2021 version] Does [child name] present any disability preventing him,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,0,,s13_20_smt_1 (2024),,
s13_20_smt_2_v2,[2021..2021 version] Does [child name] present any disability preventing him,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,0,,s13_20_smt_2 (2024),,
s13_20_smt_3_v2,[2021..2021 version] Does [child name] present any disability preventing him,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,0,,s13_20_smt_3 (2024),,
s13_20_smt_4_v2,[2021..2021 version] Does [child name] present any disability preventing him,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,5160,0,,s13_20_smt_4 (2024),,
oedema,oedema Does [child name] present bilateral pitting (edema)?,int8,"0=No, 1=Yes",2,0,0,0,0,0,5156,4261,,,2021: Does [child name] present bilateral pitting (edema,
waz,Weight for Age Z-Score,double,,0,0,0,0,0,0,5150,0,,,,
haz,Height for Age Z-Score,double,,0,0,0,0,0,0,5137,0,,,,
whz,Weight for Height Z-Score,double,,0,0,0,0,0,0,5134,0,,,,
wasting,wasted Wasting results,int8,"0=Normal, 1=Moderately wasted, 2=Severely wasted",3,0,0,0,0,0,5137,4261,,,2021: Wasting,
stunting,stunted Stunting results,int8,"0=Normal, 1=Moderately stunted, 2=Severely stunted",3,0,0,0,0,0,5137,4261,,,2021: Stunting,
today,today,double,,0,0,0,0,0,0,5776,0,,,,
hhchildatebeans,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatebeans,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhchildatemilk,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhchildatemeat,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhchildatevegetables,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhchildateoil,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatenuts,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatemilk,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatemeat,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatevegetables,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
hhwomenatefruits,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
age_cat_child1,,int8,"1=<6 months, 2=6-11 months, 3=12-17 months, 4=18-23 months, 5=24-29 months …",10,0,0,0,0,0,5776,0,,,,
age_cat_child2,,int8,"1=<6, 2=6 to 8, 3=9 to 11, 4=12 to 17, 5=18 to 23 …",8,0,0,0,0,0,5776,0,,,,
age_cat_child3,,int8,"1=<6, 2=6 to 11, 3=12 to 23, 4=24 to 35, 5=36 to 47 …",6,0,0,0,0,0,5776,0,,,,
foodsecure,FoodSecure,int8,"1=Food Secure, 2=Food Insecure",2,0,0,0,0,0,5776,0,,,,
globstunting,Global_Stunting,int8,"0=Normal, 1=Stunted",2,0,0,0,0,0,5137,0,,,,
fs_stunting,FS_Stunting,int8,"0=FoodSecure_NoStunted, 1=FoodSecure_Stunted, 2=FoodInsec_NoStunted, 3=FoodInsec_Stunted",4,0,0,0,0,0,5137,0,,,,
sam,SAM,int8,"0=No SAM, 1=SAM",2,0,0,0,0,0,5776,0,,,,
childrenunder5,,int8,,0,0,0,0,0,0,5776,0,,,,
muac_cat,MUAC_Cat,int8,"1=Normal, 2=MAM, 3=SAM",3,0,0,0,0,0,5156,0,,muac_cat_v2 (2018),,
wasting_final,Wasting_final,int8,"0=Normal, 2=MAM, 3=SAM",3,0,0,0,0,0,5156,0,,,,
globalwasting,Global_Wasting,int8,"0=Normal, 1=Global Acute Malnutrition",2,0,0,0,0,0,5156,0,,,,
food_shortage,,int8,"0=No, 1=Yes",2,0,0,0,0,0,5776,0,,,,
s13_04_01,S13_04_01 Does [CHILD_NAME] present any chronic conditions desease confirmed by,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4715,,,,
s13_04_01_1,"S13_04_01_1 If yes, what are these chronic conditions?",int8,,0,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_1,S13_04_01_1/Diabetes,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_2,"S13_04_01_1/Cardiac diseases (High blood pressure, heart disease, high blood lip",int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_3,S13_04_01_1/Cancer,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_4,"S13_04_01_1/Acquired Neurodegenerative disorders (Alzheimer, Epilepsy, Motor neu",int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_5,S13_04_01_1/Obesity,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_6,S13_04_01_1/Lung disease,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_7,S13_04_01_1/Osteoarthritis,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_8,S13_04_01_1/Depression,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_9,S13_04_01_1/Dementia,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_04_01_1_smt_21,S13_04_01_1/Others,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,37,,,,
s13_11_2_smt_1,S13_11_2/Was given more drinks,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_1_v2 (2021),,
s13_11_2_smt_2,S13_11_2/Was given more food,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_2_v2 (2021),,
s13_11_2_smt_3,S13_11_2/Was frequently breastfed,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_3_v2 (2021),,
s13_11_2_smt_4,S13_11_2/Was given clean safe drinking water,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_4_v2 (2021),,
s13_11_2_smt_5,S13_11_2/Was given RUTF,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_5_v2 (2021),,
s13_11_2_smt_6,S13_11_2/Was given homemade or packaged (ReSoMal) oral rehidration salts,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_6_v2 (2021),,
s13_11_2_smt_7,S13_11_2/Was zinc supplement given along with the home or packaged oral rehidrat,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_7_v2 (2021),,
s13_11_2_smt_8,S13_11_2/Was given other diarrhea treatment,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_8_v2 (2021),,
s13_11_2_smt_88,S13_11_2/Nothing was done,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,778,,s13_11_2_smt_88_v2 (2021),,
s13_11_1,S13_11_1 Has [CHILD_NAME] had illness with mounth during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,0,4261,,,,
s13_11_1_1_smt_1,S13_11_1_1/Pain in teeth,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_11_1_1_smt_2,S13_11_1_1/discolored teeth,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_11_1_1_smt_3,S13_11_1_1/Crooked teeth,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_11_1_1_smt_4,S13_11_1_1/bad breath,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_11_1_1_smt_5,S13_11_1_1/bleeding gums,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_11_1_1_smt_0,S13_11_1_1/Other,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,174,,,,
s13_13_1,S13_13 What did [CHILD_NAME] use to wash hand,int8,"1=Soap, 2=Water only",2,0,0,0,0,0,0,3759,,,,
rs13_16_0,"RS13_16_0 Is the [child name] ernolled in ""Ongera""Micronutrient powder or sprink",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,0,0,1172,,,,
rs13_16_1,"RS13_16_1 During the last 7 days, how many time [child name] ate Ongera products",int8,,0,0,0,0,0,0,0,104,,,,
s13_20_smt_0,S13_20/None,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4261,,s13_20_smt_0_v2 (2021),,
s13_20_smt_1,S13_20/Can't measure Odema,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4261,,s13_20_smt_1_v2 (2021),,
s13_20_smt_2,S13_20/Can't measure weight,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4261,,s13_20_smt_2_v2 (2021),,
s13_20_smt_3,S13_20/Can't measure height,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4261,,s13_20_smt_3_v2 (2021),,
s13_20_smt_4,S13_20/Can't measure MUAC,int8,"0=No, 1=Yes",2,0,0,0,0,0,0,4261,,s13_20_smt_4_v2 (2021),,
