variable,label,type,value_labels,n_value_labels,n_2009,n_2012,n_2018,n_2021,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,427,748,987,900,,,,
year,Survey year,int16,,0,427,748,987,900,,,,
wave,Wave (survey year),string,,0,3062,3062,3062,3062,,,,
unit,"Unit of the file (household, woman, child, village)",string,,0,427,748,987,900,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,427,748,987,900,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,427,748,987,900,,,,
sector,"Sector (1101-5715, NISR codes; where shipped)",int16,,0,0,748,987,0,,,,
urban,"Area of residence (1 urban, 2 rural; where shipped)",int8,"1=Urban, 2=Rural",2,0,0,0,900,,,,
cluster,Village / cluster id (as shipped),string,,0,427,748,987,900,,,,
id2,AKARERE,int8,,0,427,0,0,0,,,,
id4,UMURENGE,int8,,0,427,0,0,0,,,,
id5,AKAGARI,int8,,0,427,0,0,0,,,,
s00d,Intara,string,,0,427,748,987,900,,,,
s00e,Akarere,string,,0,427,748,987,900,,,,
s00f,Umurenge,string,,0,427,748,987,900,,,,
q1,1 - Kuva mu 2006 haba hari ubantu baje gutura aha cyangwa bi,int8,"1=Haje benshi, 2=Hagiye benshi, 3=Barangana, 4=Nta byabaye",4,427,0,0,0,,,,
q1a,Ni ubuhe buryo bw'imiturire buri muri aka kagari,int8,"1=Imidugudu, 2=Urusisiro, 3=Isambu ye",3,427,0,0,0,,,,
q21,2.1 - Muri aka kagari hari ikigo cy'amashuri abanza gikora,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q22,"2.2 - Niba ntacyo,kugera ku mashuri abanza abegereye harimo",double,,0,44,0,0,0,,,,
q23,2.3 - Muri aka kagari hari amashuri yisumbuye akora,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q24,2.4 - Niba ntayo kugera ku mashuri y'isumbuye abegereye  har,double,,0,252,0,0,0,,,,
q25,2.5 - Muri aka kagari hari ivuriro ritoya rikora muri aka ka,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q26,2.6 - Hari urugendo rungana iki kugera iki kugera ku ivuriro,double,,0,302,0,0,0,,,,
q27,2.7 - Umuhanda muto ubegereye waba uri ku ntera ingana iki u,double,,0,427,0,0,0,,,,
q28,2.8 - Umuhanda munini ubegereye waba uri kuntera ingana iki,double,,0,427,0,0,0,,,,
q29,2.9 - Haba hari isoko ry'ibiribwa rirema buri munsi muri aka,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q210,2.10 - Haba hari isoko ry'ibiribwa ritarema buri munsi muri,int8,"1=Yego, 2=Oya",2,426,0,0,0,,,,
q211,2.11 - Ni igihe kingana iki mukoresha kugera ku isoko ribege,double,,0,415,0,0,0,,,,
q212,2.12 - Ni igihe kingana iki mukoresha kugera ku isoko ribege,double,,0,426,0,0,0,,,,
filename,Filename,string,,0,427,748,987,900,,,,
strata_id,Strata,int8,,0,0,748,0,0,,,,
vup_levl,VUP level,int8,,0,0,748,0,0,,,,
v_code,Village,int32,,0,0,748,0,0,,,,
urb,Urban status,int8,"1=Urban, 2=Rural, 3=Semi urban",3,0,748,0,0,,,,
q00_ele,GPS ELE,int16,,0,0,748,0,0,,,,
q00_fix,GPS FIX,int8,,0,0,748,0,0,,,,
q00_sat,GPS SATELLITES,int8,,0,0,748,0,0,,,,
q00_time,GPS TIME,int32,,0,0,748,0,0,,,,
longitude,GPS LONGITUDE,double,,0,0,748,0,0,,,,
latitude,GPS LATITUDE,double,,0,0,748,0,0,,,,
zone_id,AGRO-CLIMATIC ZONE,int8,,0,0,748,0,0,,,,
rainfall,Rainfall,int16,,0,0,748,0,0,,,,
altitude,Altitude,int16,,0,0,748,0,0,,,,
q101,Number of informants:,int8,,0,0,743,0,0,,,,
qa102,Member(s) of local government,int8,,0,0,743,0,0,,,,
qb102,Teacher(s),int8,,0,0,739,0,0,,,,
qc102,Health worker(s),int8,,0,0,738,0,0,,,,
qd102,Farmer(s),int8,,0,0,738,0,0,,,,
qe102,Other(s),int8,,0,0,736,0,0,,,,
q201,How many households does this village have:,int16,,0,0,748,0,0,,,,
q202,How would you qualify this village?:,int8,"1=Rural, 2=Urban organized, 3=Urban slum",3,0,747,0,0,,,,
q203_1,VUP,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q203_2,Land consolidation,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q203_3,IDP model village,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q203_5_1,Other schemes,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q301,What percentage of households in this village have access to electricity?:,double,,0,0,747,0,0,,,,
q302_1,Are there any functioning primary schools in this village?:,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q302_2,"If not, then how far away on average is the nearest functioning primary school?",int16,,0,0,572,0,0,,,,
q303_1,Is there a functioning health facility in the village:,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q303_2,"If not, then how far away on average is the nearest functioning health facility?",int16,,0,0,711,0,0,,,,
q401_1,Is the main market your community mostly interacts with in your village?:,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q401_2,"If no, how far is the main market your community mostly interacts with? (count i",int16,,0,0,700,0,0,,,,
q402,Is the road to the main market for your community accessible all year round othe,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
q403_00,"All months:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_01,"January:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,200,0,0,,,,
q403_02,"February:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,200,0,0,,,,
q403_03,"March:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_04,"April:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_05,"May:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_06,"June:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_07,"July:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_08,"August:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_09,"September:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_10,"October:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_11,"November:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q403_12,"December:If no, which months is it NOT accessible?",int8,"0=No, 1=Yes",2,0,201,0,0,,,,
q404_1,What is the main challenge your community faces related to food markets?:,int8,"1=Not enough demand (can’t sell crops at market), 2=Not enough supply (not enough food available on market, 3=High food prices, 4=Unpredictable price changes, 5=Market too far …",7,0,747,0,0,,,,
q405_1,Main consumed cereal or tuber,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,746,0,0,,,,
q405_2,Main consumed pulse,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,746,0,0,,,,
q405_3,Main consumed veg,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,739,0,0,,,,
qa406_01,Cereals or tuber - All year:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,745,0,0,,,,
qa406_02,Cereals or tuber - March 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_03,Cereals or tuber - April 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_04,Cereals or tuber - May 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_05,Cereals or tuber - June 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_06,Cereals or tuber - July 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_07,Cereals or tuber - August 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_08,Cereals or tuber - September 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_09,Cereals or tuber - October 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_10,Cereals or tuber - November 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_11,Cereals or tuber - December 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_12,Cereals or tuber - January 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qa406_13,Cereals or tuber - February 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,231,0,0,,,,
qb406_01,Pulses - All year:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,745,0,0,,,,
qb406_02,Pulses - March 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_03,Pulses - April 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_04,Pulses - May 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_05,Pulses - June 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_06,Pulses - July 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_07,Pulses - August 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_08,Pulses - September 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_09,Pulses - October 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_10,Pulses - November 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_11,Pulses - December 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_12,Pulses - January 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qb406_13,Pulses - February 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,208,0,0,,,,
qc406_01,Veg - All year:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,745,0,0,,,,
qc406_02,Veg - March 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_03,Veg - April 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_04,Veg - May 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_05,Veg - June 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_06,Veg - July 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_07,Veg - August 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_08,Veg - September 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_09,Veg - October 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_10,Veg - November 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_11,Veg - December 2011:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_12,Veg - January 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qc406_13,Veg - February 2012:Was [Item name] available for:_,int8,"0=No, 1=Yes",2,0,288,0,0,,,,
qa501_1,Maize - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,747,0,0,,,,
qa501_2,Maize - Price for unit in RWF:_,int16,,0,0,725,0,0,,,,
qa501_3,Maize - Compared to prices in the rest of the year would you say these prices ar,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,725,0,0,,,,
qb501_1,Rice - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,745,0,0,,,,
qb501_2,Rice - Price for unit in RWF:_,int16,,0,0,739,0,0,,,,
qb501_3,Rice - Compared to prices in the rest of the year would you say these prices are,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,739,0,0,,,,
qc501_1,Sorghum  - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qc501_2,Sorghum  - Price for unit in RWF:_,int16,,0,0,711,0,0,,,,
qc501_3,Sorghum  - Compared to prices in the rest of the year would you say these prices,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,711,0,0,,,,
qd501_1,Cassava  - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qd501_2,Cassava  - Price for unit in RWF:_,int16,,0,0,701,0,0,,,,
qd501_3,Cassava  - Compared to prices in the rest of the year would you say these prices,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,701,0,0,,,,
qe501_1,Beans  - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qe501_2,Beans  - Price for unit in RWF:_,int16,,0,0,745,0,0,,,,
qe501_3,Beans  - Compared to prices in the rest of the year would you say these prices a,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,745,0,0,,,,
qf501_1,Sweet potatoes - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qf501_2,Sweet potatoes - Price for unit in RWF:_,int16,,0,0,733,0,0,,,,
qf501_3,Sweet potatoes - Compared to prices in the rest of the year would you say these,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,733,0,0,,,,
qg501_1,Irish potatoes - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qg501_2,Irish potatoes - Price for unit in RWF:_,int16,,0,0,711,0,0,,,,
qg501_3,Irish potatoes - Compared to prices in the rest of the year would you say these,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,711,0,0,,,,
qh501_1,Cabbage - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qh501_2,Cabbage - Price for unit in RWF:_,int16,,0,0,710,0,0,,,,
qh501_3,Cabbage - Compared to prices in the rest of the year would you say these prices,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,710,0,0,,,,
qi501_1,Banana fruit  - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qi501_2,Banana fruit  - Price for unit in RWF:_,int16,,0,0,723,0,0,,,,
qi501_3,Banana fruit  - Compared to prices in the rest of the year would you say these p,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,723,0,0,,,,
qj501_1,Cooking Banana   - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qj501_2,Cooking Banana   - Price for unit in RWF:_,int16,,0,0,734,0,0,,,,
qj501_3,Cooking Banana   - Compared to prices in the rest of the year would you say thes,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,733,0,0,,,,
qk501_1,Meat  - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qk501_2,Meat  - Price for unit in RWF:_,int16,,0,0,741,0,0,,,,
qk501_3,Meat  - Compared to prices in the rest of the year would you say these prices ar,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,741,0,0,,,,
ql501_1,Chicken - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
ql501_2,Chicken - Price for unit in RWF:_,int16,,0,0,595,0,0,,,,
ql501_3,Chicken - Compared to prices in the rest of the year would you say these prices,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,595,0,0,,,,
qm501_1,Small fish (soup) - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qm501_2,Small fish (soup) - Price for unit in RWF:_,int16,,0,0,721,0,0,,,,
qm501_3,Small fish (soup) - Compared to prices in the rest of the year would you say the,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,720,0,0,,,,
qn501_1,Fish - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qn501_2,Fish - Price for unit in RWF:_,int16,,0,0,263,0,0,,,,
qn501_3,Fish - Compared to prices in the rest of the year would you say these prices are,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,263,0,0,,,,
qo501_1,Milk - Most used unit of measure at market for [item name]:_,int8,"0=NA, 1=Kg, 2=Ltr, 3=Pc",4,0,746,0,0,,,,
qo501_2,Milk - Price for unit in RWF:_,int16,,0,0,722,0,0,,,,
qo501_3,Milk - Compared to prices in the rest of the year would you say these prices are,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,722,0,0,,,,
qa502_0,Cow  - Do you sell this animal in your village,int8,"0=No, 1=Yes",2,0,747,0,0,,,,
qa502_1,Cow  - Currently what are the prices for,int32,,0,0,542,0,0,,,,
qa502_2,Cow  - Compared to prices in the rest of the year would you say these prices are,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,542,0,0,,,,
qb502_0,Goat  - Do you sell this animal in your village,int8,"0=No, 1=Yes",2,0,746,0,0,,,,
qb502_1,Goat  - Currently what are the prices for,int32,,0,0,603,0,0,,,,
qb502_2,Goat  - Compared to prices in the rest of the year would you say these prices ar,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,603,0,0,,,,
qc502_0,Sheep  - Do you sell this animal in your village,int8,"0=No, 1=Yes",2,0,746,0,0,,,,
qc502_1,Sheep - Currently what are the prices for,int32,,0,0,399,0,0,,,,
qc502_2,Sheep - Compared to prices in the rest of the year would you say these prices ar,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,399,0,0,,,,
qd502_0,Chicken  - Do you sell this animal in your village,int8,"0=No, 1=Yes",2,0,746,0,0,,,,
qd502_1,Chicken - Currently what are the prices for,int32,,0,0,663,0,0,,,,
qd502_2,Chicken - Compared to prices in the rest of the year would you say these prices,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,663,0,0,,,,
qe502_0,Pig - Do you sell this animal in your village,int8,"0=No, 1=Yes",2,0,746,0,0,,,,
qe502_1,Pig - Currently what are the prices for,int32,,0,0,454,0,0,,,,
qe502_2,Pig - Compared to prices in the rest of the year would you say these prices are:,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,454,0,0,,,,
qa503,Unskilled agricultural labour - Currently for the households in your village wha,int16,,0,0,747,0,0,,,,
qa503_2,Unskilled agricultural labour - Compared to prices in the rest of the year would,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,747,0,0,,,,
qb503,Unskilled non agricultural labour - Currently for the households in your village,int16,,0,0,747,0,0,,,,
qb503_2,Unskilled non agricultural labour - Compared to prices in the rest of the year w,int8,"1=Lower than average, 2=About average, 3=Higher than",3,0,747,0,0,,,,
q601_1,Main crop:What are the 3 main annual crops cultivated by the households in this,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,746,0,0,,,,
q601_2,Second crop:What are the 3 main annual crops cultivated by the households in thi,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,745,0,0,,,,
q601_3,Third crop:What are the 3 main annual crops cultivated by the households in this,int8,"1=Beans, 2=Sweet pot, 3=Irish pot, 4=Banana, 5=maize flour …",32,0,739,0,0,,,,
qa602_01,Main crop - March 2011:In 2011-2012 when were the main crops planted/sown/harves,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_02,Main crop - December 2011:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_03,Main crop - January 2012:In 2011-2012 when were the main crops planted/sown/harv,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_04,Main crop - February 2012:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_05,Main crop - April 2011:In 2011-2012 when were the main crops planted/sown/harves,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_06,Main crop - May 2011:In 2011-2012 when were the main crops planted/sown/harveste,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_07,Main crop - June 2011:In 2011-2012 when were the main crops planted/sown/harvest,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_08,Main crop - July 2011:In 2011-2012 when were the main crops planted/sown/harvest,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_09,Main crop - August 2011:In 2011-2012 when were the main crops planted/sown/harve,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_10,Main crop - September 2011:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_11,Main crop - October 2011:In 2011-2012 when were the main crops planted/sown/harv,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qa602_12,Main crop - November 2011:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_01,Second crop - March 2011:In 2011-2012 when were the main crops planted/sown/harv,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_02,Second crop - December 2011:In 2011-2012 when were the main crops planted/sown/h,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_03,Second crop - January 2012:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_04,Second crop - February 2012:In 2011-2012 when were the main crops planted/sown/h,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_05,Second crop - April 2011:In 2011-2012 when were the main crops planted/sown/harv,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_06,Second crop - May 2011:In 2011-2012 when were the main crops planted/sown/harves,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_07,Second crop - June 2011:In 2011-2012 when were the main crops planted/sown/harve,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_08,Second crop - July 2011:In 2011-2012 when were the main crops planted/sown/harve,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_09,Second crop - August 2011:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_10,Second crop - September 2011:In 2011-2012 when were the main crops planted/sown/,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qb602_11,Second crop - October 2011:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qb602_12,Second crop - November 2011:In 2011-2012 when were the main crops planted/sown/h,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,739,0,0,,,,
qc602_01,Third crop - March 2011:In 2011-2012 when were the main crops planted/sown/harve,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_02,Third crop - December 2011:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_03,Third crop - January 2012:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_04,Third crop - February 2012:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_05,Third crop - April 2011:In 2011-2012 when were the main crops planted/sown/harve,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_06,Third crop - May 2011:In 2011-2012 when were the main crops planted/sown/harvest,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_07,Third crop - June 2011:In 2011-2012 when were the main crops planted/sown/harves,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_08,Third crop - July 2011:In 2011-2012 when were the main crops planted/sown/harves,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_09,Third crop - August 2011:In 2011-2012 when were the main crops planted/sown/harv,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,737,0,0,,,,
qc602_10,Third crop - September 2011:In 2011-2012 when were the main crops planted/sown/h,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_11,Third crop - October 2011:In 2011-2012 when were the main crops planted/sown/har,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
qc602_12,Third crop - November 2011:In 2011-2012 when were the main crops planted/sown/ha,int8,"0=NA, 1=Planted/Sown, 2=Harvested",3,0,738,0,0,,,,
q701_1,What % of hh in this village are ubudehe category 1:,int8,,0,0,735,0,0,,,,
