variable,label,type,value_labels,n_value_labels,n_2009,n_2012,n_2018,n_2021,source,versions,label_variants,value_label_conflicts
s5_04_smt_2,Three most consumed pulses and legumes - Cabbage,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Cabbage (village most consumed vegetables),
s5_04_smt_3,Three most consumed pulses and legumes - Amaranthes,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Amaranthes  (village most consumed vegetables),
s5_04_smt_4,Three most consumed pulses and legumes - Other vegetables,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Other vegetables (village most consumed vegetables,
s7_01_2_smt_11,Which commodities do people usually grow in this village? - Wheat,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Wheat (Which commodities do people usually grow in,
s7_01_2_smt_12,Which commodities do people usually grow in this village? - Maize,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Maize (Which commodities do people usually grow in,
s7_01_2_smt_13,Which commodities do people usually grow in this village? - Sorghum,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Sorghum (Which commodities do people usually grow ,
s7_01_2_smt_14,Which commodities do people usually grow in this village? - Rice,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Rice (Which commodities do people usually grow in ,
s7_01_2_smt_15,Which commodities do people usually grow in this village? - Other cereals,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other cereals (Which commodities do people usually,
s7_01_2_smt_21,Which commodities do people usually grow in this village? - Sweet Potato,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Sweet Potato (Which commodities do people usually ,
s7_01_2_smt_22,Which commodities do people usually grow in this village? - Irish potato,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Irish potato (Which commodities do people usually ,
s7_01_2_smt_23,Which commodities do people usually grow in this village? - Cassava,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Cassava (Which commodities do people usually grow ,
s7_01_2_smt_24,Which commodities do people usually grow in this village? - Taro,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Taro (Which commodities do people usually grow in ,
s7_01_2_smt_25,Which commodities do people usually grow in this village? - Yam,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Yam  (Which commodities do people usually grow in ,
s7_01_2_smt_26,Which commodities do people usually grow in this village? - Banana cooking,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Banana cooking (Which commodities do people usuall,
s7_01_2_smt_27,Which commodities do people usually grow in this village? - Other roots and tube,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other roots and tubers (Which commodities do peopl,
s7_01_2_smt_31,Which commodities do people usually grow in this village? - Tomato,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Tomato (Which commodities do people usually grow i,
s7_01_2_smt_32,Which commodities do people usually grow in this village? - Cabbage,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Cabbage (Which commodities do people usually grow ,
s7_01_2_smt_33,Which commodities do people usually grow in this village? - Other vegetables,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other vegetables (Which commodities do people usua,
s7_01_2_smt_41,Which commodities do people usually grow in this village? - Banana (wine),int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Banana (wine) (Which commodities do people usually,
s7_01_2_smt_42,Which commodities do people usually grow in this village? - Banana fruit,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Banana fruit  (Which commodities do people usually,
s7_01_2_smt_43,Which commodities do people usually grow in this village? - Passion fruit,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Passion fruit (Which commodities do people usually,
s7_01_2_smt_44,Which commodities do people usually grow in this village? - Pineapple,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Pineapple (Which commodities do people usually gro,
s7_01_2_smt_45,Which commodities do people usually grow in this village? - Other fruit specify:,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other fruits (Which commodities do people usually ,
s7_01_2_smt_51,Which commodities do people usually grow in this village? - Beans,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Beans (Which commodities do people usually grow in,
s7_01_2_smt_52,Which commodities do people usually grow in this village? - Peas,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Peas (Which commodities do people usually grow in ,
s7_01_2_smt_53,Which commodities do people usually grow in this village? - Soya,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Soya (Which commodities do people usually grow in ,
s7_01_2_smt_54,Which commodities do people usually grow in this village? - Ground nuts,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Ground nuts (Which commodities do people usually g,
s7_01_2_smt_55,"Which commodities do people usually grow in this village? - Other pulses, specif",int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other pulses (Which commodities do people usually ,
s7_01_2_smt_61,Which commodities do people usually grow in this village? - Tea,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Tea  (Which commodities do people usually grow in ,
s7_01_2_smt_62,Which commodities do people usually grow in this village? - Coffee,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Coffee (Which commodities do people usually grow i,
s7_01_2_smt_63,Which commodities do people usually grow in this village? - Tobacco,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Tobacco (Which commodities do people usually grow ,
s7_01_2_smt_64,Which commodities do people usually grow in this village? - Sugar cane,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Sugar cane (Which commodities do people usually gr,
s7_01_2_smt_65,Which commodities do people usually grow in this village? - Other cash crops spe,int8,"0=No, 1=Yes",2,0,0,987,832,,,2018: Other cash crops (Which commodities do people usua,
s8_01_2_smt_1,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,"2018: Drought/irregular rains, prolonged dry spell (what",
s8_01_2_smt_2,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Floods (what are the main shocks/problems did  hou,
s8_01_2_smt_3,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Landslides and Mudslides (what are the main shocks,
s8_01_2_smt_4,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Unusually high level of crop pests & disease (what,
s8_01_2_smt_5,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Unusually high level of livestock diseases (what a,
s8_01_2_smt_6_v2,[2018..2018 version]  Unusually high level of human disease/EPIDEMIC (what ar,int8,"0=No, 1=Yes",2,0,0,987,0,,s8_01_2_smt_6 (2021),,
s8_01_2_smt_7,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Unusually high prices for food (what are the main ,
s8_01_2_smt_8_v2,"[2018..2018 version]  Unusually high cost of agric. inputs (seed, fertilizer,",int8,"0=No, 1=Yes",2,0,0,987,0,,s8_01_2_smt_8 (2021),,
s8_01_2_smt_9_v2,[2018..2018 version]  Loss or reduced employment/Income for a household membe,int8,"0=No, 1=Yes",2,0,0,987,0,,s8_01_2_smt_9 (2021),,
s8_01_2_smt_10,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Fires (what are the main shocks/problems did  hous,
s8_01_2_smt_11_v2,[2018..2018 version]  Serious illness or accident of household member (what a,int8,"0=No, 1=Yes",2,0,0,987,0,,s8_01_2_smt_11 (2021),,
s8_01_2_smt_12,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Death  of the Head of the household (what are the ,
s8_01_2_smt_13,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Death a working household member (what are the mai,
s8_01_2_smt_14,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Death of other household member (what are the main,
s8_01_2_smt_15,"Based on severity, what are the main shocks/problems did households in this vill",int8,"0=No, 1=Yes",2,0,0,987,707,,,2018: Theft of productive resources (what are the main s,
