21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| B | H_AHS_household.dta: h_hhkey unique (household file) | 30,447 | 30,447 | PASS |
| B | H_CFSVA_household.dta: rows with a household key (informational) | 50,890 |  | n/a |
| B | H_CFSVA_household.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_household.dta: h_hhkey unique (household file) | 50,890 | 50,890 | PASS |
| B | H_LFS_person.dta: rows with a household key (informational) | 691,162 |  | n/a |
| B | H_LFS_person.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_LFS_person.dta: duplicated non-blank h_pkey (allowed: 3 = NISR duplicate person numbers) | 3 | 3 | PASS |
| B | H_Census_person.dta: rows with a household key (informational) | 3,149,099 |  | n/a |
| B | H_Census_person.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_Census_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_EICV_person.dta: rows with a household key (informational) | 327,841 |  | n/a |
| B | H_EICV_person.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_EICV_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_EICV_person_vup.dta: rows with a household key (informational) | 32,241 |  | n/a |
| B | H_EICV_person_vup.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_EICV_person_vup.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_AHS_person.dta: rows with a household key (informational) | 138,683 |  | n/a |
| B | H_AHS_person.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_AHS_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_CFSVA_child.dta: rows with a household key (informational) | 31,423 |  | n/a |
| B | H_CFSVA_child.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_child.dta 2006: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2009: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2012: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2015: rows with a household key (stand-alone nutrition files: must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_child.dta 2018: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2021: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2024: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta: rows with a household key (informational) | 24,262 |  | n/a |
| B | H_CFSVA_woman.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_woman.dta 2006: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2009: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2012: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2015: rows with a household key (stand-alone nutrition files: must be 0) | 0 | 0 | PASS |
